,Cluster ID,X,Y,Z,Cluster Size (mm3),Tracts
0,1,28.0,-56.0,14.0,6960,gCC bCC sCC
1,1a,-20.0,-49.0,14.0,,gCC bCC sCC
2,1b,-10.0,-37.0,19.0,,gCC bCC sCC
3,1c,-20.0,-48.0,11.0,,gCC bCC sCC
4,2,-9.0,-11.0,33.0,21,gCC bCC sCC
0,1,11.0,-25.0,-25.0,100,CST.R CST.L
1,2,-9.0,-26.0,-28.0,78,CST.R CST.L
0,1,7.0,-41.0,-25.0,299,ICP.R ICP.L SCP.R SCP.L
1,1a,8.0,-52.0,-23.0,,ICP.R ICP.L SCP.R SCP.L
2,1b,5.0,-42.0,-22.0,,ICP.R ICP.L SCP.R SCP.L
3,2,-11.0,-40.0,-39.0,307,ICP.R ICP.L SCP.R SCP.L
4,2a,-7.0,-42.0,-25.0,,ICP.R ICP.L SCP.R SCP.L
