,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Tracts
0,1,41.0,-47.0,11.0,,326,Group_3
1,2,-34.0,-44.0,30.0,0.9980000257492065,1,Group_3
2,3,-34.0,-45.0,29.0,0.9980000257492065,1,Group_3
3,4,-34.0,-50.0,19.0,0.9980000257492065,2,Group_3
4,5,-34.0,-57.0,21.0,0.9980000257492065,1,Group_3
5,6,-33.0,-21.0,28.0,0.9980000257492065,1,Group_3
6,7,-33.0,-32.0,37.0,0.9980000257492065,2,Group_3
7,8,-32.0,-33.0,37.0,0.9980000257492065,1,Group_3
8,9,-32.0,-43.0,32.0,0.9980000257492065,1,Group_3
9,10,-34.0,3.0,27.0,0.9980000257492065,1,Group_3
10,11,-31.0,7.0,28.0,0.9980000257492065,2,Group_3
11,12,-31.0,-20.0,40.0,0.9980000257492065,2,Group_3
12,13,-32.0,-20.0,29.0,0.9980000257492065,4,Group_3
13,14,-30.0,-25.0,37.0,0.9980000257492065,6,Group_3
14,15,-30.0,-28.0,35.0,0.9980000257492065,6,Group_3
15,16,-30.0,-44.0,29.0,0.9980000257492065,1,Group_3
16,17,-30.0,-46.0,29.0,0.9980000257492065,1,Group_3
17,18,-36.0,-21.0,29.0,0.9980000257492065,855,Group_3
18,18a,-37.0,-43.0,24.0,0.9980000257492065,,Group_3
19,19,-29.0,-34.0,34.0,0.9980000257492065,1,Group_3
20,20,-31.0,-15.0,30.0,0.9980000257492065,1,Group_3
21,21,-35.0,-57.0,19.0,0.9980000257492065,1,Group_3
22,22,-35.0,-48.0,16.0,0.9980000257492065,2,Group_3
23,23,-35.0,-1.0,23.0,0.9980000257492065,1,Group_3
24,24,-42.0,-20.0,31.0,0.9980000257492065,1,Group_3
25,25,-42.0,-47.0,3.0,0.9980000257492065,1,Group_3
26,26,-42.0,-49.0,3.0,0.9980000257492065,1,Group_3
27,27,-42.0,-52.0,6.0,0.9980000257492065,1,Group_3
28,28,-41.0,-28.0,31.0,0.9980000257492065,1,Group_3
29,29,-41.0,-52.0,8.0,0.9980000257492065,1,Group_3
30,30,-41.0,-53.0,5.0,0.9980000257492065,1,Group_3
31,31,-41.0,-54.0,4.0,0.9980000257492065,1,Group_3
32,32,-40.0,-51.0,10.0,0.9980000257492065,1,Group_3
33,33,-40.0,-52.0,5.0,0.9980000257492065,2,Group_3
34,34,-38.0,-43.0,8.0,0.9980000257492065,1,Group_3
35,35,-41.0,-45.0,12.0,0.9980000257492065,227,Group_3
36,35a,-42.0,-51.0,4.0,0.9980000257492065,,Group_3
37,36,-37.0,-42.0,14.0,0.9980000257492065,2,Group_3
38,37,-37.0,-45.0,11.0,0.9980000257492065,1,Group_3
39,38,-37.0,-55.0,12.0,0.9980000257492065,1,Group_3
40,39,-36.0,-51.0,21.0,0.9980000257492065,1,Group_3
41,40,-36.0,-53.0,20.0,0.9980000257492065,3,Group_3
42,41,-37.0,-53.0,16.0,0.9980000257492065,47,Group_3
43,42,-36.0,2.0,26.0,0.9980000257492065,4,Group_3
44,43,-29.0,-48.0,30.0,0.9980000257492065,1,Group_3
45,44,-29.0,-36.0,33.0,0.9980000257492065,4,Group_3
46,45,-31.0,-24.0,35.0,0.9980000257492065,12,Group_3
47,46,-29.0,-41.0,31.0,0.9980000257492065,7,Group_3
48,47,36.0,8.0,22.0,0.9980000257492065,7,Group_3
49,48,36.0,3.0,23.0,0.9980000257492065,1,Group_3
50,49,36.0,-43.0,29.0,0.9980000257492065,18,Group_3
51,50,36.0,-48.0,17.0,0.9980000257492065,2,Group_3
52,51,36.0,-50.0,16.0,0.9980000257492065,1,Group_3
53,52,-28.0,-38.0,32.0,0.9980000257492065,2,Group_3
54,53,37.0,-42.0,26.0,0.9980000257492065,1,Group_3
55,54,35.0,-56.0,20.0,0.9980000257492065,2,Group_3
56,55,38.0,-9.0,30.0,0.9980000257492065,1,Group_3
57,56,38.0,-42.0,24.0,0.9980000257492065,6,Group_3
58,57,38.0,-46.0,18.0,0.9980000257492065,2,Group_3
59,58,38.0,-47.0,22.0,0.9980000257492065,9,Group_3
60,59,39.0,-44.0,9.0,0.9980000257492065,1,Group_3
61,60,42.0,-18.0,29.0,0.9980000257492065,2,Group_3
62,61,42.0,-22.0,31.0,0.9980000257492065,2,Group_3
63,62,37.0,-7.0,25.0,0.9980000257492065,708,Group_3
64,62a,34.0,6.0,20.0,0.9980000257492065,,Group_3
65,62b,35.0,-13.0,35.0,0.9980000257492065,,Group_3
66,62c,36.0,1.0,23.0,0.9980000257492065,,Group_3
67,63,38.0,-40.0,22.0,0.9980000257492065,1,Group_3
68,64,35.0,-51.0,19.0,0.9980000257492065,8,Group_3
69,65,37.0,7.0,22.0,0.9980000257492065,1,Group_3
70,66,35.0,-45.0,29.0,0.9980000257492065,1,Group_3
71,67,33.0,-23.0,38.0,0.9980000257492065,3,Group_3
72,68,35.0,-46.0,24.0,0.9980000257492065,1,Group_3
73,69,35.0,4.0,27.0,0.9980000257492065,1,Group_3
74,70,35.0,-12.0,36.0,0.9980000257492065,2,Group_3
75,71,35.0,5.0,21.0,0.9980000257492065,1,Group_3
76,72,30.0,-33.0,38.0,0.9980000257492065,1,Group_3
77,73,31.0,4.0,29.0,0.9980000257492065,1,Group_3
78,74,33.0,-17.0,38.0,0.9980000257492065,69,Group_3
79,74a,28.0,-25.0,41.0,0.9980000257492065,,Group_3
80,74b,34.0,-12.0,33.0,0.984000027179718,,Group_3
81,75,35.0,-34.0,26.0,0.9959999918937683,5,Group_3
82,76,-35.0,1.0,22.0,0.9959999918937683,1,Group_3
83,77,-32.0,7.0,26.0,0.9959999918937683,6,Group_3
84,78,-40.0,-7.0,28.0,0.9959999918937683,1,Group_3
85,79,37.0,2.0,25.0,0.9959999918937683,2,Group_3
86,80,-40.0,-31.0,31.0,0.9959999918937683,1,Group_3
87,81,34.0,-22.0,37.0,0.9959999918937683,1,Group_3
88,82,-38.0,-10.0,29.0,0.9959999918937683,6,Group_3
89,83,-40.0,-30.0,33.0,0.9900000095367432,1,Group_3
90,84,45.0,-7.0,25.0,0.9900000095367432,1,Group_3
91,85,-37.0,-40.0,18.0,0.9900000095367432,3,Group_3
92,86,-46.0,-8.0,23.0,0.9900000095367432,1,Group_3
93,87,-34.0,8.0,23.0,0.9900000095367432,19,Group_3
94,88,-32.0,-30.0,25.0,0.9900000095367432,2,Group_3
95,89,38.0,-23.0,30.0,0.9900000095367432,2,Group_3
96,90,-34.0,-14.0,30.0,0.984000027179718,1,Group_3
97,91,-35.0,6.0,22.0,0.984000027179718,1,Group_3
98,92,-37.0,5.0,23.0,0.984000027179718,1,Group_3
99,93,-36.0,3.0,24.0,0.984000027179718,1,Group_3
100,94,34.0,11.0,23.0,0.984000027179718,1,Group_3
101,95,34.0,-14.0,37.0,0.984000027179718,1,Group_3
102,96,40.0,-34.0,32.0,0.984000027179718,2,Group_3
103,97,-35.0,5.0,24.0,0.972000002861023,1,Group_3
104,98,32.0,7.0,28.0,0.972000002861023,1,Group_3
105,99,43.0,-20.0,31.0,0.972000002861023,1,Group_3
106,100,34.0,6.0,26.0,0.972000002861023,1,Group_3
107,101,44.0,-21.0,30.0,0.972000002861023,1,Group_3
108,102,44.0,-22.0,31.0,0.972000002861023,1,Group_3
109,103,-45.0,-7.0,23.0,0.972000002861023,1,Group_3
110,104,-45.0,-10.0,25.0,0.972000002861023,1,Group_3
111,105,37.0,-29.0,29.0,0.972000002861023,1,Group_3
